docno,title,text
289,"теоретическое исследование аэродинамики тонких самолетов 
крестообразные конструкции крыльев и их кильватерный след .","теоретическое исследование аэродинамики slender 
крестообразных конструкций крыла и их кильватерного следа .
  проведено теоретическое исследование некоторых крестообразных конструкций крыла 
и их кильватерного следа с помощью теории тонкого тела .  
рассмотрены основные идеи этой теории и приведены уравнения 
разработаны для давлений, нагрузок и усилий на тонких 
крестообразных крыльях и комбинациях крыло-корпус .  Роллинг-до
вихревой за стройную крестообразное крыло является
по длине и численный анализ проводится с использованием 40
вихрей для расчета формы на различных расстояниях позади
равные период с крестообразным крылом в 45 банков .  аналитические 
разработаны выражения для соответствующих положений 
свернутых вихревых листов с использованием 4-вихревого приближения к 
следу, и эти положения сравниваются с положениями 
центроидов завихренности , полученных в результате численного анализа .
согласование оказалось удивительно хорошим на всех расстояниях 
за крылом .
  фотографии кильватерного следа, наблюдаемого в резервуаре для воды, представлены 
на различных расстояниях за крестообразным крылом при 0 
и 45 наклонах .  для крена 45 расстояние за крылом 
, на котором два верхних вихря проходят между двумя нижними, 
измерено экспериментально и, как установлено, хорошо согласуется с 
 расчет нагрузок на крестообразные хвосты рассмотрен в 
приведены некоторые подробности по методу обратного потока и уравнения 
разработаны для нагрузок на хвостовую часть в терминах положений вихрей 
рассчитаны в ходе предыдущих анализов ."
290,динамическая устойчивость ракеты при качающемся полете .,"динамическая устойчивость ракеты при полете по накатанной траектории .
  в статье излагаются уравнения движения для симметричной 
ракеты по накатанной траектории относительно осей, прикрепленных к ракете .  
ракета может иметь реактивный (или ракетный) привод или двигаться накатом в условиях 
ускорения или замедления соответственно, при этом 
переменная скорость качения определяется намеренно или 
непреднамеренно / скошенные / плавники и / или крылья .
  уравнения содержат систему сил и моментов, которая 
включает, в дополнение к обычным силам и моментам, те, которые обусловлены 
эффектами Магнуса, смещенными поверхностями, наклонными поверхностями, реактивной 
смещение и линейные ускорения в плоскости, перпендикулярной оси ракеты 
.
  результаты представляют общие критерии устойчивости для катящейся ракеты 
которые обобщены в разделе / обсуждение устойчивости ./"
291,"эффекты обратной развертки в ударной волне турбулентного пограничного слоя 
взаимодействие .","эффекты обратной развертки в ударной волне турбулентного пограничного слоя 
взаимодействие .
  сообщается об экспериментах по взаимодействию турбулентных 
пограничных слоев и ударных волн с конфигурациями обратной развертки .
они показывают, что пиковое повышение давления при отделении, влияние 
восходящего потока перед отделением и повышение давления при 
повторном присоединении для умеренных углов развертки - все это можно понять с помощью 
простых расширений доступных двумерных теорий ."
292,"быстрые расчеты ламинарного пограничного слоя поштучно 
применение аналогичных решений.","быстрые расчеты ламинарного пограничного слоя поштучно 
применение аналогичных решений.
  представлен метод быстрого расчета 
несжимаемого ламинарного пограничного слоя при произвольном обтекании 
двумерного или вращательно-симметричного тела.
решение получено без обращения к уравнению импульса фон Кармана 
с помощью грубой пошаговой процедуры 
, в которой каждый сегмент распределения скоростей равен 
аппроксимируется одним из семейств аналогичных потоков фолкнера-скана .
  решения имеют по меньшей мере такую же точность, как и у любого другого 
однопараметрический приближенный метод, и в определенных случаях 
решения становятся точными .  в областях с ускоряющейся скоростью 
точность оказывается очень высокой .  в замедляющихся потоках 
разделение прогнозируется несколько раньше по сравнению с точными решениями 
то есть метод консервативен в отличие от метода фон 
кармана-Полхаузена, который иногда не может предсказать 
разделение, которое действительно существует .
  метод является наиболее быстрой ручной процедурой, известной автору 
при условии, что требуется полная история пограничного слоя 
.  если требуется только такая толщина в одной точке на поверхности 
, то скорость примерно равна квадратурному методу .
но, если требуется несколько значений или других свойств вдоль поверхности 
, это значительно быстрее, чем квадратурный метод .
характерно, что требуется всего четыре шага между прямой точкой 
застоя и пиком давления .  после получения данных о распределении скоростей 
на каждый шаг двумерного вычисления 
требуется около 5 минут с использованием логарифмической линейки."
293,"недавние исследования влияния охлаждения на переход пограничного слоя 
со скоростью 4 маха.","недавние исследования влияния охлаждения на пограничный слой 
переход в пограничный слой со скоростью 4 маха.
появление высокоскоростных полетов вызвало необходимость изучения 
перехода в пограничный слой на сильно охлажденных телах .
исследования, подобные исследованиям, приведенным в ссылках 1-4, были сосредоточены 
на этой проблеме и показали, вопреки тенденциям 
, предсказанным теорией малых возмущений, что преждевременный переход 
может быть обнаружен при охлаждении .  это явление, обычно называемое 
подробно описано в ссылках 2-5 .
  цель этой заметки - сообщить о некоторых недавних изменениях 
данные, полученные на охлаждаемом конусе в аэродинамической трубе с частотой 4 маха .  
модель, представляющая собой конус с острым концом (включенный угол наклона 13,5), была охлаждена 
жидким азотом до температуры -340 f .  охлаждение 
метод и анализ данных аналогичны описанным в 
ссылка 3 ."
294,"исследование ламинарного переходного и турбулентного процессов 
теплообмен на тупоносых телах в гиперзвуковом потоке .","исследование ламинарного переходного и турбулентного процессов 
теплообмен на тупоносых телах в гиперзвуковом потоке.
  были измерены скорости ламинарного, переходного и турбулентного нагрева 
с помощью метода закрытой модели .  
число рейнольдса варьировалось в девятикратном диапазоне. отношение энтальпии 
(застой к стенке) варьировалось от 2,3 примерно до 1,5.
на модель были наложены два различных распределения давления 
которая состояла из конуса со сферической крышкой .
  экспериментальные данные сравниваются с ламинарно-гиперзвуковой теорией 
пограничного слоя и показано, что они хорошо согласуются с 
конической частью модели .  что касается сферической части, то данные 
примерно на 20% превышают теоретические. 
прогнозирование .  частично это расхождение можно объяснить излучением, попадающим на 
носовую часть модели .
  полностью развитого турбулентного теплообмена данные сравниваются
в двух теорий .. (1) относительно простой турбулентный теория, которая
на основе последних теоретических работ, а также с учетом
история выше пограничного слоя, и (2) плоской пластины
справочно-энтальпия теории, которая зависит только от /местного/
условия .  хотя обе теории в разумных пределах согласуются с 
данными, последний метод проще и несколько более 
точен .
  для переходного течения теория, упомянутая первой, может быть легко изменена 
, чтобы обеспечить получение разумных оценок переходного течения 
теплообмена.  на этой основе можно 
оценить ламинарный, переходный и полностью развитый турбулентный теплообмен 
в гиперзвуковых условиях с тупым телом .
  поведение переходного числа Рейнольдса на основе 
толщины импульса также обсуждается и показано, что оно находится в количественном соответствии 
согласуется с недавними измерениями в ударной трубе ."
295,примечание о переходной теплопередаче в гиперзвуковых условиях .,"примечание о переходной теплопередаче в гиперзвуковых условиях .
в ссылках 1 и 2 были представлены экспериментальные данные о 
переходной теплопередаче на затупленном теле в условиях гиперзвукового течения 
условия, полученные методом shroud .  данные были сопоставлены 
с теоретическим прогнозом переходного теплообмена, основанным 
на предложении Перша .  соответствие между теорией и экспериментом 
в переходной области было признано ""качественно хорошим и 
количественно справедливым"" .
целью данного примечания является представление некоторых дополнительных переходных данных 
, полученных при обычных испытаниях в аэродинамической трубе, и указание на 
средства для некоторого улучшения соответствия между переходными данными 
теории и эксперимента ."
296,"примечания по волнам через газы при давлениях мала по сравнению
с магнитным давлением, с приложением к верхней
атмосфера аэродинамики .","примечания по волнам через газы при давлениях мала по сравнению
с магнитным давлением, с приложением к верхней
атмосфера аэродинамики .
большинство обработок магнитогидродинамических волн 
ограничивают физическую интерпретацию 
случаями, когда альфвеновская скорость a 
мала по сравнению со скоростью звука 
скорость a .  здесь мы рассматриваем ""ситуацию с низкой бета-версией 
"", в которой a намного
больше, чем a .  тогда, за исключением двух мод с 
скоростью волны a, единственно возможными являются 
волны продольные, распространяющиеся 
однонаправленно вдоль линий магнитного поля 
силы со скоростью a .  их можно 
интерпретировать как звуковые волны, ограниченные 
эффективно жесткими силовыми магнитными трубками .
эффекты тока Холла не меняют эти выводы 
(в отличие от ситуации с высокой бета-активностью 
), а конечная проводимость 
приводит лишь к небольшому рассеянию .
  применяется к схеме потока 
вокруг тела , движущегося по 
f слой ионосферы, где, хотя 
нейтральные частицы обладают очень большим 
средняя длина пробега, заряженные частицы взаимодействуют 
электростатически и, как утверждается, может 
рассматриваться как образующая непрерывную жидкость, 
движение которой не зависит от 
движения нейтральных частиц .  тело, движущееся 
со скоростью спутника или ниже, будет 
тогда возбуждать вышеупомянутые однонаправленные 
звуковые волны, но не волны с 
гораздо более высокой скоростью Альфвена .  эти соображения 
позволяют предположить, что его движение 
будет сопровождаться v-образным рисунком 
электронной плотности (рисунок 2), 
который может быть частично ответственен за некоторые 
аномальные радиолокационные эхо-сигналы, о которых 
сообщалось."
297,"эффекты сжимаемости в магнитоаэродинамических потоках 
обтекание тонких тел.","эффекты сжимаемости в магнитоаэродинамических потоках 
обтекающих тонкие тела .
  изучается влияние сжимаемости на установившееся движение жидкости с высокой проводимостью 
обтекающей тонкие цилиндрические тела в присутствии 
магнитного поля .  разработаны процедуры для 
решения этого класса магнитоаэродинамических задач во всем диапазоне чисел Маха 
и для всех соотношений магнитного давления к 
гидродинамическому давлению.  полученные результаты аналогичны либо
теория ackeret или Прандтля-glauert нормы договорного
аэродинамика, в зависимости от относительных значений скорости потока 
и соответствующую скорость распространения магнитоакустические
беспорядки .  используемые методы и физическая интерпретация 
полученные решения различаются в зависимости от ориентации 
магнитного поля относительно направления потока.
  результаты теории объясняются в терминах 
анизотропного распространения магнитоакустических импульсов, изученного ранее 
несколькими авторами ."
298,"несжимаемые клиновидные течения электропроводящей жидкости 
вязкая жидкость в присутствии магнитного поля .","несжимаемые клиновидные течения электропроводящей жидкости 
вязкая жидкость в присутствии магнитного поля .
  цель этой заметки - обсудить двумерное течение 
электропроводящей вязкой жидкости мимо клина 
в присутствии магнитного поля .  приведены и проанализированы определяющие дифференциальные уравнения 
и граничные условия ."
299,магнитогидродинамический поток мимо полубесконечной пластины .,"магнитогидродинамический поток мимо полубесконечной пластины .
  рассматривается течение вязкой электропроводящей жидкости 
мимо полубесконечной пластины .  в 
приложенное постоянное магнитное поле и постоянная 
набегающая скорость жидкости находятся в направлении, параллельном 
пластине .
  в дополнение к числу рейнольдса течение в 
пограничном слое зависит от двух параметров 
и .  два одновременных 
обыкновенные нелинейные дифференциальные уравнения решаются с помощью 
асимптотического метода для случаев, когда 
и соответственно .
  основные полученные результаты следующие .  в 
уравнения могут быть решены точно для и .
эффект возмущения от бесконечности, когда k велико 
зависит от, тогда как эффект возмущения от 
нуля, когда k мало, зависит от .  для больших k, 
включая, нет решения для .  
предполагается, что жидкость несжимаема с постоянными 
физическими свойствами ."
300,"об определенном классе аналогичных решений уравнений 
движения и энергии вязкой жидкости .","об определенном классе аналогичных решений уравнений 
движения и энергии вязкой жидкости .
  путем введения концепции подобия в двумерные, 
несжимаемые уравнения Навье-Стокса и уравнение энергии, найден 
особый класс решений .  рассматриваются два основных типа потоков 
. (1) ламинарная свободная конвекция, т. е. Потоки, которые 
возникают под действием силы тела, и (2) ламинарная принудительная 
конвекция.
  для свободной конвекции на вертикальных пластинах получены аналогичные решения 
для двух различных степенных изменений температуры поверхности 
и показано, что одно из этих решений представляет собой 
новый тип краевой задачи .  результаты численного анализа 
интегрирования уравнений сравниваются с решениями аналогичных 
уравнений пограничного слоя для свободной конвекции, и это 
продемонстрировано, что диапазон изменений температуры поверхности существует для 
в котором уравнения пограничного слоя больше не действуют .
  для принудительной конвекции показано, что использование преобразований подобия 
обеспечивает альтернативный метод вывода 
обыкновенных дифференциальных уравнений для некоторых хорошо известных решений, 
таких как потоки Куэтта и точки застоя .  приведены решения 
получены для радиальных сходящихся или расходящихся потоков между плоскими 
поверхностями, когда температуры поверхностей изменяются произвольно 
в зависимости от расстояния от источника .  представлены результаты численного анализа 
интегрирования обыкновенных дифференциальных уравнений 
для чисел Прандтля 0,01 и 1,0 и для линейной поверхности 
изменения температуры .  получены некоторые довольно неожиданные результаты 
для расходящихся потоков при отрыве и некоторые показательные 
проведены сравнения с результатами теории пограничного слоя ."
301,примерная конструкция остроконечных сверхзвуковых сопел .,"примерный дизайн на острые углы сверхзвукового сопла .
появляется модифицированный параболической кривой, чтобы быть в непосредственной близости, что
получается либо метод характеристик и метод волны .
таким образом, была предпринята попытка использовать аналитическую геометрию для определения 
приближенного контура двумерного остроконечного 
сверхзвукового сопла за очень короткое время ."
302,"приближения для термодинамических и транспортных свойств высокотемпературного воздуха 
.","приближения для термодинамических и транспортных свойств высокотемпературного воздуха 
.
термодинамические и транспортные свойства высокотемпературного воздуха 
определены в закрытой форме, исходя из приблизительных функций распределения для 
основных компонентов воздуха и пренебрегая всеми второстепенными компонентами . в 
сжимаемость, энтальпия, энтропия, удельная теплоемкость, скорость 
звука, коэффициенты вязкости и теплопроводности, и 
числа Прандтля для воздуха приведены в таблице от 500 до 15 000 градусов. 
 k в диапазоне давления от 0,0001 до 100 атмосфер. энергию 
воздуха и мольные доли основных компонентов воздуха можно найти 
 из приведенных в таблице значений сжимаемости и энтальпии. 
прогнозируется, что число прандтля для полностью ионизированного воздуха, находящегося в 
полном равновесии, станет малым по сравнению с единицей, порядка 
прозрачным для теплового потока ."
303,"влияние переменной рекомбинации тепла на застой 
точечный теплообмен .","влияние переменной рекомбинации тепла на застой 
точечный теплообмен .
  в более ранних исследованиях предполагалась средняя теплота образования атомов 
в зависимости от условий внешнего потока .  показано, что равновесие 
теплопередача уменьшается на 35 для типичного случая с числом Маха 24 
при учете пропорций компонентов воздуха .
переменная энергия рекомбинации также приводит к увеличению массы атома 
доли, которые реально меньше для равновесия, чем замороженные 
ситуации по всему пограничному слою с холодной стенкой ."
304,"подход первого порядка к задаче сильного взаимодействия 
при гиперзвуковом обтекании изолированной плоской пластины .","подход первого порядка к задаче сильного взаимодействия 
при гиперзвуковом обтекании изолированной плоской пластины .
  настоящая статья посвящена 
явлению сильного взаимодействия над 
изолированной полубесконечной плоской пластиной с острой 
передней кромкой.  в частности, основной интерес представляет 
последовательная обработка, при которой 
раствор пограничного слоя может непрерывно соединяться 
с невязким раствором в отношении 
переменных расхода, включая давление, нормальное 
скорость, температура (или скорость по течению) и плотность .
  показано, что поведение невязком
решение может быть согласуется с
решение пограничного слоя, по крайней мере, первого порядка
сближение, что является правильным в порядке,
где m-число Маха
количество невозмущенного потока, Р Рейнольдса
количество в зависимости от расстояния от ведущих
края и показатель адиабаты .  затем 
задача о пограничном слое первого порядка 
формулируется при таких внешних обстоятельствах 
и предпринимается попытка прийти к решению .
  фактические расчеты выполняются для обоих 
случаев с воздухом и гелием .  из решения 
установлено, что область, в которой эффект вязкости 
играет значительную роль, находится в диапазоне от 
от 0 до определенного конечного значения n, скажем n, в 
терминах координаты подобия n в 
соответствующий несжимаемый пограничный слой .
кроме того численные результаты свидетельствуют о
что индуцированное давление значительно меньше
чем оценивают по осадке (7) получен путем
его приближенный метод, в котором эффект
первого порядка, вызванный давлением на
пограничный слой игнорируется и без опроса
первого порядка пограничного слоя уравнение .
также установлено, что настоящие результаты находятся в 
превосходном согласии с экспериментальными данными 
, недавно полученными Эриксоном в отношении потока гелия (15)."
305,"гиперзвуковое сильное вязкое взаимодействие на плоской пластине 
с поверхностным массопереносом .","гиперзвуковое сильное вязкое взаимодействие на плоской пластине 
с поверхностным массопереносом .
в настоящем отчете представлен отчет о 
разработке 
приближенной теории к задаче гиперзвукового взаимодействия 
сильного вязкого взаимодействия 
на плоской пластине с массопереносом на поверхности 
пластины.  возмущение 
область течения разделена на невязкую и 
вязкую области течения .  применяется 
теория гиперзвуковых малых возмущений 
для решения задачи о невязкой 
области течения .  метод аналогичных решений 
уравнений сжимаемого ламинарного 
пограничного слоя применяется к 
обработке области вязкого течения 
.  выведен закон поверхностного массопереноса 
для аналогичных решений.
давление и нормальная скорость 
согласованы между решениями для невязкого и 
вязкого течения.  получены формулы для индуцированного 
поверхностного давления, пограничного 
слоя толщины, коэффициента поверхностного трения 
и коэффициента теплопередачи 
.  численные результаты и их
обсуждается значение .
указано будущих усовершенствований ."
306,"второе приближение к ламинарно сжимаемой границе 
слой на плоской пластине в скользящем потоке.","второе приближение к ламинарно сжимаемому пограничному слою 
слой на плоской пластине в скользящем потоке.
  дано решение первого порядка для ламинарно сжимаемого пограничного слоя 
обтекание плоской пластины при постоянной температуре стенки.  
учитывается эффект скольжения у стенки, а также взаимодействие между 
течением в пограничном слое и внешним потоком 
.  решение получено явно в терминах известного нулевого 
порядка, или континуального решения .  нет необходимости делать какие-либо 
предположения относительно числа Прандтля 
или закона зависимости вязкости от температуры .  обнаружено, что решение 
первого порядка приводит к уменьшению теплопередачи, а для 
сверхзвукового течения - к увеличению трения о поверхность .
для дозвукового течения отсутствует 
эффект сдвига первого порядка .  изменение теплопередачи происходит из-за скольжения 
, а изменение трения происходит из-за взаимодействия скоростей нулевого и 
первого порядка на внешней границе пограничного слоя ."
307,"приближенное решение гиперзвуковых ламинарных уравнений пограничного слоя 
и его применение .","приближенное решение гиперзвуковых ламинарных уравнений пограничного слоя 
и его применение .
  приблизительные формулы для толщины смещения и поверхностного слоя 
трение гиперзвукового ламинарного пограничного слоя получено с использованием 
интегрального метода фон Кармана, предполагающего, что теплоизолированная стенка, 
число Прандтля, равное единице, и формула Чепмена и рубезина для определения 
изменения вязкости в зависимости от температуры.
полученные результаты 
сравниваются с некоторыми точными решениями .
из-за хорошего соответствия, 
кажется, что эти формулы очень полезны .
  эти формулы вместе с приближением касательного клина 
применяются к течению вязкой жидкости над 
тонкими телами с достаточно острой 
передней кромкой .  в качестве примера, 
распределение давления по плоской пластине 
рассчитано численно по 
всей области поверхности.
проведено сравнение с теоретическими результатами других авторов 
, а также экспериментальными 
значениями."
308,"о гиперзвуковом потоке вязкой жидкости мимо плоской пластины с 
всасыванием или нагнетанием.","о гиперзвуковом потоке вязкой жидкости мимо плоской пластины с 
всасыванием или нагнетанием.
  гиперзвуковой поток вязкой жидкости мимо плоской пластины 
при всасывании или нагнетании 
рассматривается методом Кармана-полхаузена 
в особых случаях, когда 
скорость всасывания или нагнетания пропорциональна 
, особенно 
для области сильного взаимодействия между 
ударной волной и 
пограничным слоем, где p - давление на 
пластину, а x - 
расстояние, измеренное вдоль пластины от ее передней кромки .
  приведено несколько численных примеров, 
которые показывают эффекты, аналогичные эффектам 
инжекции в случае несжимаемого 
потока, который инжекция 
создает всю высоту ударной волны, 
толщину границы 
слой и давление на пластину больше, 
чем в случае отсутствия впрыска 
.  напротив, в случае 
всасывания заметных изменений нет 
как в высоте ударной волны, так и в 
давлении на пластину 
видно, и затрагивается только профиль скорости в 
пограничном слое 
с помощью всасывания ."
309,"о движении плоской пластины с высокой скоростью в вязкой среде 
сжимаемая жидкость, ii, устойчивое движение.","о движении плоской пластины с высокой скоростью в вязкой среде 
сжимаемая жидкость, ii, устойчивое движение.
  теория установившегося течения вязкой сжимаемой жидкости 
мимо плоской пластины с высоким числом маха благодаря лису и 
пробштейну расширяется за счет более полного обсуждения течения в 
невязкий слой между ударной волной и пограничным слоем .
показано, что в этом слое существуют аналогичные решения, аналогично 
тем, которые были найдены ли и нагамацу в пограничном слое, и 
что эти два решения могут быть объединены, чтобы дать, допуская одно незначительное 
предположение, полный отчет о потоке .  показано, что уравнения 
пограничного слоя могут быть сведены к уравнениям для несжимаемой 
жидкости и что метод фон Кармана-полхаузена описывает 
течение в нем с хорошей точностью .  касательный клин 
установлено, что аппроксимация давления на пластину, используемая Лисом и его сотрудниками 
, является недостаточной 
на 10% для воздуха .  наконец, 
показано, что теория слабого взаимодействия не может быть 
расширена дальше без полного знания течения ."
310,гиперзвуковое вязкое течение по плоской пластине .,"гиперзвуковое вязкое течение над плоской пластиной .
     при рассмотрении установившегося ламинарного вязкого течения над 
полубесконечной плоской пластиной обсуждаются некоторые из следующих тем .
направление потока в пограничном слое на передней кромке дается
толщина . темпы роста пограничного слоя в основной поток, и
причины изменения давления .
асимптотические решения для области течения ниже по потоку, включая 
объединяющее взаимодействие ударных волн на передней кромке .
колебания давления во внутреннем слое вязкого потока и во внешнем 
невязкий поток рассматривается как поток прандтля-Мейера . в случаях обтекания 
отклонение, число Маха набегающего потока, нулевой градиент давления и 
распределение давления на поверхности . асимптотические решения для случаев 
нагнетания жидкости холодным газом . теплопередача по Прандтлю . соединение 
взаимодействие между внешним невязким потоком и внутренним вязким 
слой потока . устойчивый ламинарный гиперзвуковой вязкий поток по плоскому клину 
и конусу ."
